cv_mean	cv_std	min_taken	best_iteration	eta	max_depth	min_child_weight	gamma	subsample	colsample_bytree	alpha
0.63106	0.020719	0.12577	37	0.7	1	100	1	1	0.5	1
0.63106	0.016916	0.13131	18	0.5	1	100	1	0.6	0.8	1
0.63106	0.020056	0.48382	470	0.03	1	100	1	0.7	0.8	1
0.63105	0.019678	0.27923	210	0.1	1	100	1	0.9	0.8	1
0.63103	0.019556	0.13765	28	0.4	1	100	1	0.7	0.7	1
0.63103	0.016088	0.15754	45	0.6	1	100	1	0.6	0.9	1
0.63103	0.01766	0.18801	106	0.2	1	100	1	1	0.7	1
0.63103	0.014047	0.32737	50	0.1	6	100	1	1	0.8	1
0.63103	0.014047	0.33486	50	0.1	6	100	1	1	0.8	1
0.63102	0.020608	0.26978	232	0.1	1	100	1	1	0.7	1
0.63096	0.018084	0.49831	511	0.03	1	100	1	0.7	0.7	1
0.63096	0.016187	0.22983	98	0.2	2	100	1	1	0.7	1
0.63094	0.015071	0.18264	33	0.4	2	100	1	1	0.9	1
0.63091	0.019493	0.13302	38	0.4	1	100	1	0.7	0.5	1
0.63089	0.014692	0.29875	49	0.1	5	100	1	1	0.8	1
0.63088	0.020218	0.18281	57	0.4	2	100	1	0.9	0.6	1
0.63087	0.015199	0.31538	155	0.1	2	100	1	0.9	0.9	1
0.63085	0.013795	0.20103	140	0.6	1	100	1	0.9	0.5	1
0.63083	0.016364	0.2743	204	0.1	1	100	1	0.6	0.7	1
0.63082	0.014981	0.42528	95	0.1	6	100	1	0.9	0.9	1
0.63082	0.014981	0.43334	95	0.1	6	100	1	0.9	0.9	1
0.63081	0.013406	0.29354	259	0.3	1	100	1	0.8	0.5	1
0.6308	0.024171	0.47385	175	0.1	5	100	1	0.8	0.7	1
0.63079	0.011593	0.19232	35	0.5	2	100	1	0.6	0.9	1
0.63079	0.018253	0.13903	25	0.4	1	100	1	0.8	0.9	1
0.63078	0.018003	0.20753	130	0.1	1	100	1	0.8	0.7	1
0.63071	0.014031	0.16046	50	0.4	1	100	1	0.6	0.9	1
0.6307	0.016244	0.18043	22	0.5	2	100	1	0.9	0.9	1
0.6307	0.021922	0.15468	64	0.2	1	100	1	0.8	0.6	1
0.63067	0.017708	0.13873	21	0.4	1	100	1	0.6	0.7	1
0.63065	0.01607	0.26865	232	0.1	1	100	1	0.6	0.5	1
0.63063	0.016836	0.16787	15	0.4	2	100	1	0.8	0.9	1
0.63062	0.014341	0.20242	125	0.4	1	100	1	0.7	0.6	1
0.6306	0.020096	0.14544	31	0.7	1	100	1	0.9	0.9	1
0.63058	0.017257	0.17997	88	0.6	1	100	1	0.8	0.6	1
0.63058	0.022085	0.12814	36	0.7	1	100	1	1	0.6	1
0.63058	0.019571	0.17233	47	0.4	2	100	1	1	0.6	1
0.63058	0.013292	0.23494	149	0.5	1	100	1	0.8	0.9	1
0.63056	0.016839	0.30467	250	0.2	1	100	1	0.7	0.8	1
0.63054	0.019014	0.42251	104	0.1	6	100	1	0.8	0.8	1
0.63054	0.019014	0.40477	104	0.1	7	100	1	0.8	0.8	1
0.63054	0.019014	0.40623	104	0.1	6	100	1	0.8	0.8	1
